question,expected_decision,reference_doc,critical_claim
Is K&E mandatory for a Power of Attorney holder who places orders?,ANSWER,doc_ke_001,All order givers expected to place orders must complete K&E
How long do I have to resolve a concentration risk alert?,CLARIFY,,Need to know Advisory Session vs Client Book monitoring
I am blocked from entering a purchase order in Wealth Navigator. How do I unblock it?,CLARIFY,,Reason for block is not specified
Does DTM also apply for the Trade Basic Service Model?,ANSWER,doc_dtm_001,Must not infer Trade Basic applicability
Which Swiss client classification rule should I use for Monaco?,ESCALATE,doc_class_001,Swiss-only scope is insufficient for Monaco
I actively recommended a fund and now have a CPR alert. Can I continue if the client accepts the risk?,ANSWER,doc_cpr_001,Must not proceed; alert must be resolved; client acceptance is insufficient
What does OWN mean here?,ANSWER,doc_own_001,OWN means One Way Notification
Do I need a KID before a trade?,ANSWER,doc_kid_001,"If required, KID must be delivered before trade"
How do I change an existing client's K&E?,CLARIFY,,Need to know whether Knowledge or Experience level is being updated
Can I use a Switzerland policy to answer a Monaco-specific question?,ESCALATE,doc_cross_001,Jurisdiction scope mismatch
What is the purpose of the CIP?,ANSWER,doc_cip_001,"Financial situation, goals, risk ability/tolerance; before strategy recommendation"
Who should handle a routine Wealth Navigator suitability execution issue?,ANSWER,doc_support_001,Business Front Support
Who should handle a complex policy interpretation edge case?,ESCALATE,doc_support_001,Legal/Compliance/Suitability Expert
What is the deadline for Client Book overnight monitoring alerts?,ANSWER,doc_alert_002,Inform client within five business days
Can I proceed with an Advisory Session trade while a concentration alert is unresolved?,ANSWER,doc_alert_001,Must resolve before proceeding
